Feature,Cohen_d,Abs_Cohen_d,Mean_Control,Mean_Impaired,Std_Control,Std_Impaired
33,0.50865144,0.50865144,0.12717374,0.1284926,0.0024416968,0.0027836228
45,0.50630325,0.50630325,-0.16220473,-0.16129245,0.0019113058,0.001642806
17,0.5052129,0.5052129,-0.0042510624,-0.0035565617,0.0014058517,0.0013314864
59,-0.47869727,0.47869727,-0.036787596,-0.037539028,0.0015761004,0.0015611352
27,-0.47372207,0.47372207,0.11099983,0.11037681,0.0012564231,0.0013903936
43,-0.46846732,0.46846732,0.08576033,0.08507337,0.0014076236,0.0015421057
38,-0.45343348,0.45343348,-0.12168177,-0.12251538,0.0017523335,0.0019484751
32,0.42461804,0.42461804,-0.10642167,-0.10571599,0.0017051063,0.0016018742
30,-0.4046078,0.4046078,-0.090114065,-0.090863146,0.0017853687,0.0019367874
14,-0.36025435,0.36025435,-0.0117570255,-0.0125725735,0.0023052727,0.002206697
50,-0.35831428,0.35831428,-0.035832368,-0.0363595,0.0014114302,0.00154799
34,0.32758856,0.32758856,-0.23444192,-0.2337579,0.002174236,0.0019659293
53,-0.3230482,0.3230482,0.020449856,0.019835327,0.0019367577,0.0018548061
46,0.3212522,0.3212522,0.11313669,0.113812946,0.002074076,0.0021461437
25,0.2837608,0.2837608,-0.052626852,-0.05214254,0.0018321025,0.0015215564
9,0.27996445,0.27996445,-0.21723269,-0.2166772,0.0020478393,0.0018948717
1,0.2748761,0.2748761,-0.060008205,-0.059720967,0.0010505532,0.001037408
24,-0.25270662,0.25270662,0.23709677,0.23666398,0.0017614197,0.0016445464
15,0.2500391,0.2500391,0.0077410913,0.0080737695,0.0012861652,0.0013880277
62,-0.24945427,0.24945427,0.17984207,0.17954537,0.0011515005,0.0012386132
42,0.2484793,0.2484793,-0.16794506,-0.1672676,0.0027509208,0.0026929732
61,-0.24765076,0.24765076,-0.02997198,-0.030387633,0.0017655608,0.0015531611
11,0.24337742,0.24337742,-0.086805716,-0.08628379,0.0020799239,0.0022286267
3,-0.2417579,0.2417579,0.13608263,0.13571644,0.0014903506,0.0015469632
23,-0.2404026,0.2404026,-0.053298555,-0.053700067,0.0017330428,0.0015814641
44,0.23347394,0.23347394,-0.028692141,-0.028246308,0.0019938168,0.0017897415
54,0.23273139,0.23273139,-0.12769979,-0.12720335,0.0021908928,0.002052714
57,-0.22494498,0.22494498,0.04631077,0.045919526,0.0016673114,0.0018318383
26,-0.22445284,0.22445284,0.15400027,0.15361457,0.001765856,0.0016523028
63,-0.21576521,0.21576521,0.12390083,0.12358363,0.0014321345,0.0015198191
55,-0.21367875,0.21367875,0.06661539,0.066233,0.0016604672,0.0019500314
29,0.20912829,0.20912829,0.005074035,0.005419938,0.0016937947,0.001598853
31,0.195781,0.195781,0.028392766,0.028753757,0.0018565838,0.0018265587
6,0.18003058,0.18003058,0.029169377,0.0294243,0.0014258126,0.001402668
37,0.17002173,0.17002173,-0.12076665,-0.12043667,0.0020391415,0.0017997797
58,-0.16702268,0.16702268,-0.1816685,-0.18203416,0.0021768345,0.0022059458
51,-0.15307193,0.15307193,0.13813303,0.13794787,0.0012406808,0.0011664946
7,0.14812085,0.14812085,-0.10407987,-0.103765056,0.002157582,0.0020812496
49,0.13392399,0.13392399,0.02168313,0.022028754,0.0023166006,0.0028989222
16,-0.12523435,0.12523435,0.18697864,0.18672717,0.0019785224,0.0020470854
60,-0.11337167,0.11337167,0.05994399,0.059831798,0.0009839858,0.0009970807
4,0.11138142,0.11138142,0.008088406,0.008278218,0.0017164694,0.0016874305
13,0.10979338,0.10979338,-0.09032785,-0.090170026,0.0013992822,0.0014874096
48,0.107608736,0.107608736,0.035211295,0.03540367,0.0017716856,0.0018091004
52,0.10682958,0.10682958,0.034669444,0.03483676,0.0015655012,0.0015671676
12,0.101301104,0.101301104,0.13826568,0.1384203,0.0014941704,0.0015685322
10,-0.10007895,0.10007895,-0.15529704,-0.15543763,0.0014036215,0.001406423
8,-0.095086075,0.095086075,0.25090793,0.2507443,0.0017070713,0.0017389035
41,-0.086262815,0.086262815,-0.09853433,-0.09866011,0.0015090479,0.0013864976
36,-0.07477715,0.07477715,-0.20199463,-0.20212583,0.0018277421,0.0016509225
47,-0.0711727,0.0711727,0.23694032,0.2368144,0.0017439724,0.0018029991
21,0.06572164,0.06572164,-0.23274538,-0.23266545,0.0012013795,0.0012358653
19,-0.059977088,0.059977088,0.15582582,0.15572119,0.0017922014,0.0016783035
0,0.055822954,0.055822954,0.2119985,0.21210656,0.001926867,0.0019472004
28,0.05046339,0.05046339,-0.20385315,-0.20375943,0.0018615786,0.0018509456
39,-0.047525786,0.047525786,-0.09914266,-0.09925645,0.002286273,0.0025323543
5,0.044564392,0.044564392,-0.0722025,-0.072127655,0.0015636858,0.0018241272
2,0.04276314,0.04276314,0.0076291678,0.0077120005,0.0019282026,0.0019488246
22,-0.024599444,0.024599444,-0.015673427,-0.01570312,0.0012276556,0.0011786749
35,-0.023021324,0.023021324,-0.020591162,-0.020624945,0.0014792562,0.0014514013
20,-0.011992668,0.011992668,-0.02138328,-0.021397905,0.0012278159,0.0012082863
18,0.011248114,0.011248114,0.008910457,0.008929423,0.0016940017,0.0016755884
40,-0.0045467694,0.0045467694,0.11448917,0.114481,0.0015861845,0.0020449404
56,-0.0004511613,0.0004511613,-0.07321747,-0.073218055,0.001293644,0.0013192785
